division,div_name,year,month,date,pdsi,nation,drought_class
6,East Central,2023,3,2023-03-01,1.23,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,4,2023-04-01,1.13,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,5,2023-05-01,0.74,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,6,2023-06-01,0.97,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,7,2023-07-01,1.22,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,8,2023-08-01,2.23,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,9,2023-09-01,2.67,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,10,2023-10-01,3.7,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,11,2023-11-01,3.04,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,12,2023-12-01,3.58,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,1,2024-01-01,3.19,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,2,2024-02-01,3.0,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,3,2024-03-01,2.41,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,4,2024-04-01,3.53,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,5,2024-05-01,3.07,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,6,2024-06-01,3.54,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,7,2024-07-01,4.2,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,8,2024-08-01,4.72,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,9,2024-09-01,3.66,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,10,2024-10-01,2.34,Rosebud (Sicangu Lakota),Near-normal or wet
